periodo_tempo;temperatura_max;temperatura_min
26/08/11;31,1;16,4
27/08/11;28,6;16,0
28/08/11;27,9;15,9
29/08/11;25,9;15,7
30/08/11;25,8;15,2
31/08/11;27,1;14,9
01/09/11;27,5;15,9
02/09/11;28,5;17,0
03/09/11;30,0;17,0
04/09/11;29,8;16,9
05/09/11;30,5;16,8
06/09/11;30,5;17,2
07/09/11;29,9;17,3
08/09/11;29,9;17,7
09/09/11;30,4;17,5
10/09/11;30,1;17,7
11/09/11;29,9;17,3
12/09/11;29,5;17,2
13/09/11;29,5;16,2
14/09/11;31,4;15,8
15/09/11;31,1;15,8
16/09/11;30,2;16,9
17/09/11;29,7;16,5
18/09/11;30,0;17,0
19/09/11;31,0;16,0
20/09/11;31,9;15,9
21/09/11;32,5;16,5
22/09/11;33,8;17,1
23/09/11;33,5;16,6
24/09/11;33,2;17,5
25/09/11;33,0;18,2
26/09/11;31,5;18,3
27/09/11;30,5;18,5
28/09/11;29,6;18,3
29/09/11;27,8;18,4
30/09/11;28,5;18,5
01/10/11;27,4;18,0
02/10/11;28,5;17,9
03/10/11;29,5;17,8
04/10/11;27,9;17,5
05/10/11;27,9;17,8
06/10/11;29,4;18,0
07/10/11;30,9;17,0
08/10/11;30,4;17,3
09/10/11;30,9;18,2
10/10/11;30,9;18,0
11/10/11;28,9;17,5
12/10/11;29,3;17,8
13/10/11;29,0;17,8
14/10/11;30,9;17,6
15/10/11;29,1;18,8
16/10/11;28,0;19,0
17/10/11;27,0;18,5
18/10/11;26,5;18,5
19/10/11;29,3;18,4
20/10/11;30,1;19,0
21/10/11;28,9;18,6
22/10/11;26,8;18,9
23/10/11;26,6;18,0
24/10/11;28,1;17,9
25/10/11;26,5;17,8
26/10/11;29,5;17,7
27/10/11;28,0;18,6
28/10/11;24,5;17,0
29/10/11;25,0;16,8
30/10/11;23,9;18,0
31/10/11;21,7;17,1
01/11/11;27,4;17,0
02/11/11;24,2;18,0
03/11/11;26,0;17,6
04/11/11;29,0;17,1
05/11/11;29,1;18,5
06/11/11;24,5;18,2
07/11/11;27,5;17,3
08/11/11;29,8;18,0
09/11/11;26,0;17,8
10/11/11;24,2;18,0
11/11/11;27,6;18,0
12/11/11;28,5;17,6
13/11/11;29,2;17,2
14/11/11;29,0;18,2
15/11/11;29,0;18,0
16/11/11;28,8;17,7
17/11/11;29,0;17,1
18/11/11;28,8;17,6
19/11/11;28,6;17,8
20/11/11;29,8;17,6
21/11/11;31,0;18,6
22/11/11;28,4;19,6
23/11/11;26,2;19,8
24/11/11;28,0;19,0
25/11/11;26,6;18,8
26/11/11;27,4;18,5
27/11/11;29,9;17,9
28/11/11;29,9;17,4
29/11/11;28,8;18,6
30/11/11;28,3;18,5
01/12/11;28,5;17,8
02/12/11;28,5;19,4
03/12/11;25,5;18,7
04/12/11;23,2;18,2
05/12/11;26,6;17,9
06/12/11;27,9;18,1
07/12/11;27,2;18,5
08/12/11;28,5;18,1
09/12/11;27,1;18,0
10/12/11;28,9;17,3
11/12/11;27,0;18,2
12/12/11;27,8;18,2
13/12/11;26,5;18,8
14/12/11;26,2;18,5
15/12/11;27,4;18,6
16/12/11;28,7;18,4
17/12/11;28,1;17,8
18/12/11;28,0;17,0
19/12/11;27,9;16,5
20/12/11;29,2;16,0
21/12/11;30,4;15,8
22/12/11;29,5;17,1
23/12/11;28,8;17,4
24/12/11;29,2;17,3
25/12/11;29,5;17,9
26/12/11;29,4;17,0
27/12/11;30,0;17,1
28/12/11;30,5;15,9
29/12/11;29,9;14,9
30/12/11;29,9;15,0
31/12/11;29,9;17,5
01/01/12;30,9;16,9
02/01/12;30,7;17,2
03/01/12;31,1;17,9
04/01/12;31,0;17,8
05/01/12;29,5;18,4
06/01/12;27,6;18,1
07/01/12;30,0;17,6
08/01/12;30,2;17,9
09/01/12;31,1;17,5
10/01/12;29,9;18,1
11/01/12;28,2;18,5
12/01/12;27,4;17,5
13/01/12;26,2;17,5
14/01/12;27,9;18,5
15/01/12;28,6;18,0
16/01/12;28,2;17,4
17/01/12;30,0;17,2
18/01/12;29,5;17,5
19/01/12;30,0;17,0
20/01/12;27,0;18,3
21/01/12;28,0;18,9
22/01/12;29,0;19,1
23/01/12;27,9;18,4
24/01/12;28,0;17,8
25/01/12;26,1;18,3
26/01/12;28,9;18,0
27/01/12;30,2;18,0
28/01/12;29,6;15,9
29/01/12;29,6;15,4
30/01/12;30,5;15,5
31/01/12;30,2;18,1
01/02/12;28,2;19,1
02/02/12;28,8;18,8
03/02/12;27,5;18,6
04/02/12;25,5;18,0
05/02/12;27,6;18,0
06/02/12;28,7;18,5
07/02/12;29,5;16,5
08/02/12;27,6;18,2
09/02/12;28,4;18,0
10/02/12;28,8;19,3
11/02/12;30,0;18,8
12/02/12;29,0;17,8
13/02/12;30,8;18,0
14/02/12;28,5;18,5
15/02/12;29,4;17,4
16/02/12;26,4;18,9
17/02/12;26,6;19,3
18/02/12;25,2;18,5
19/02/12;27,9;18,8
20/02/12;31,4;17,6
21/02/12;29,5;18,7
22/02/12;30,4;19,1
23/02/12;26,5;17,9
24/02/12;29,6;19,0
25/02/12;29,2;19,0
26/02/12;29,8;18,5
27/02/12;31,9;17,8
28/02/12;32,1;18,4
29/02/12;31,8;18,5
01/03/12;32,0;18,1
02/03/12;32,0;18,2
03/03/12;32,7;18,0
04/03/12;32,7;16,6
05/03/12;32,2;18,6
06/03/12;30,6;19,9
07/03/12;31,1;20,2
08/03/12;31,2;19,9
09/03/12;32,9;18,8
10/03/12;33,2;21,5
11/03/12;33,8;20,5
12/03/12;27,6;20,5
13/03/12;28,0;19,1
14/03/12;31,1;18,1
15/03/12;32,0;18,8
16/03/12;28,3;19,9
17/03/12;29,8;19,4
18/03/12;30,1;19,3
19/03/12;30,8;18,4
20/03/12;32,0;17,0
21/03/12;31,2;19,6
22/03/12;30,5;20,3
23/03/12;31,9;20,5
24/03/12;31,5;20,9
25/03/12;32,1;19,6
26/03/12;29,7;19,8
27/03/12;29,1;18,9
28/03/12;28,3;19,0
29/03/12;26,2;19,3
30/03/12;29,1;19,6
31/03/12;26,8;19,5
01/04/12;25,4;20,0
02/04/12;27,7;18,9
03/04/12;29,0;17,8
04/04/12;29,0;17,8
05/04/12;27,6;20,6
06/04/12;26,1;20,3
07/04/12;28,4;20,0
08/04/12;29,4;18,0
09/04/12;29,6;18,2
10/04/12;29,5;17,4
11/04/12;28,2;18,5
12/04/12;28,8;18,4
13/04/12;28,6;18,4
14/04/12;28,1;19,0
15/04/12;28,6;17,9
16/04/12;28,6;18,0
17/04/12;30,2;16,5
18/04/12;29,0;19,2
19/04/12;27,6;18,9
20/04/12;30,0;18,3
21/04/12;30,1;19,0
22/04/12;28,9;18,5
23/04/12;28,4;20,0
24/04/12;28,6;18,9
25/04/12;28,0;19,4
26/04/12;28,7;19,0
27/04/12;29,2;18,5
28/04/12;28,5;19,2
29/04/12;27,8;19,3
30/04/12;29,0;19,2
01/05/12;29,4;18,7
02/05/12;29,8;19,2
03/05/12;28,9;19,9
04/05/12;28,5;19,8
05/05/12;28,4;19,6
06/05/12;29,7;18,6
07/05/12;30,0;18,1
08/05/12;30,9;16,3
09/05/12;31,1;18,4
10/05/12;31,1;19,6
11/05/12;30,9;19,3
12/05/12;30,1;19,0
13/05/12;30,6;18,7
14/05/12;29,9;20,1
15/05/12;27,2;19,0
16/05/12;27,5;18,8
17/05/12;27,5;18,3
18/05/12;29,9;17,5
19/05/12;27,0;17,8
20/05/12;28,4;17,5
21/05/12;28,4;17,4
22/05/12;28,5;17,5
23/05/12;27,5;18,0
24/05/12;28,9;17,7
25/05/12;29,5;17,8
26/05/12;30,7;17,7
27/05/12;27,0;18,0
28/05/12;27,1;17,7
29/05/12;29,8;17,0
30/05/12;31,1;17,9
31/05/12;31,4;17,7
01/06/12;31,7;16,8
02/06/12;30,8;15,9
03/06/12;32,0;14,1
04/06/12;33,0;14,9
05/06/12;33,4;13,8
06/06/12;32,7;15,1
07/06/12;32,3;13,3
08/06/12;32,4;14,4
09/06/12;31,3;16,6
10/06/12;30,1;17,0
11/06/12;29,0;16,8
12/06/12;29,0;16,2
13/06/12;29,5;15,4
14/06/12;29,4;14,6
15/06/12;30,1;15,4
16/06/12;29,5;16,6
17/06/12;29,7;16,9
18/06/12;31,1;17,2
19/06/12;31,2;17,4
20/06/12;29,4;17,0
21/06/12;31,1;16,9
22/06/12;32,6;16,2
23/06/12;31,9;17,0
24/06/12;31,0;15,8
25/06/12;31,9;15,6
26/06/12;32,8;14,6
27/06/12;32,9;14,6
28/06/12;32,0;16,3
29/06/12;31,5;15,8
30/06/12;30,7;17,4
01/07/12;29,3;16,4
02/07/12;29,5;15,9
03/07/12;28,8;16,0
04/07/12;28,7;15,3
05/07/12;30,3;17,0
06/07/12;31,0;16,9
07/07/12;28,9;17,0
08/07/12;29,6;17,5
09/07/12;27,4;17,8
10/07/12;28,4;17,0
11/07/12;28,5;16,2
12/07/12;28,5;16,1
13/07/12;29,3;16,2
14/07/12;29,5;14,4
15/07/12;30,2;16,2
16/07/12;31,2;15,9
17/07/12;29,5;16,2
18/07/12;30,8;13,8
19/07/12;28,5;15,9
20/07/12;29,6;15,4
21/07/12;29,0;14,9
22/07/12;28,0;13,9
23/07/12;29,3;13,8
24/07/12;29,6;15,0
25/07/12;28,0;14,6
26/07/12;27,3;14,6
27/07/12;26,2;14,4
28/07/12;27,1;14,2
29/07/12;27,6;13,2
30/07/12;28,3;13,2
31/07/12;29,1;14,4
01/08/12;28,6;14,3
02/08/12;27,5;14,8
03/08/12;26,9;14,1
04/08/12;26,8;14,4
05/08/12;25,6;12,7
06/08/12;27,2;12,1
07/08/12;28,8;12,4
08/08/12;28,5;13,9
09/08/12;32,2;14,9
10/08/12;32,2;14,9
11/08/12;32,5;16,6
12/08/12;29,6;16,5
13/08/12;29,2;16,7
14/08/12;27,6;16,6
15/08/12;29,3;16,2
16/08/12;29,9;16,0
17/08/12;29,6;15,6
18/08/12;29,5;15,7
19/08/12;29,0;15,8
20/08/12;29,1;15,2
21/08/12;29,2;15,9
22/08/12;29,0;15,3
23/08/12;31,3;14,6
24/08/12;29,6;15,5
25/08/12;29,5;16,0
26/08/12;28,5;16,6
27/08/12;28,6;16,1
28/08/12;28,1;16,3
29/08/12;27,7;16,6
30/08/12;26,3;16,8
31/08/12;28,0;16,9
01/09/12;28,1;17,0
02/09/12;29,1;16,8
03/09/12;28,1;16,5
04/09/12;26,5;16,1
05/09/12;27,0;16,1
06/09/12;28,1;16,0
07/09/12;33,0;16,7
08/09/12;32,8;17,5
09/09/12;30,3;17,4
10/09/12;27,7;18,0
11/09/12;28,0;17,8
12/09/12;25,5;17,5
